Player,Hero,Round,Opponent,Opponent Hero,Result
Jorge Jimenez,"Florian, Rotwood Harbinger",Round 3,Enki Dupaquier,Kassai of the Golden Sand,Loss
Stefaan Morbee,"Gravy Bones, Shipwrecked Looter",Round 3,Steffen Bauer,"Cindra, Dracai of Retribution",Loss
Steffen Bauer,"Cindra, Dracai of Retribution",Round 3,Stefaan Morbee,"Gravy Bones, Shipwrecked Looter",Win
Michael Wachouschek,Dash I/O,Round 3,Gabriel Zugna,Kassai of the Golden Sand,Win
Gabriel Zugna,Kassai of the Golden Sand,Round 3,Michael Wachouschek,Dash I/O,Loss
Simone Pirota,"Azalea, Ace in the Hole",Round 3,Davide Ricci,"Prism, Awakener of Sol",Loss
Davide Ricci,"Prism, Awakener of Sol",Round 3,Simone Pirota,"Azalea, Ace in the Hole",Win
Daniele Bigagli,"Verdance, Thorn of the Rose",Round 3,Piero Carini,"Arakni, Marionette",Win
Piero Carini,"Arakni, Marionette",Round 3,Daniele Bigagli,"Verdance, Thorn of the Rose",Loss
John Kitsos,"Florian, Rotwood Harbinger",Round 3,Yahir Peñarrubia,"Florian, Rotwood Harbinger",Win
Yahir Peñarrubia,"Florian, Rotwood Harbinger",Round 3,John Kitsos,"Florian, Rotwood Harbinger",Loss
Andrea Ceschin,Dorinthea Ironsong,Round 3,Pierre-Yves Garcia,"Ira, Scarlet Revenger",Loss
Pierre-Yves Garcia,"Ira, Scarlet Revenger",Round 3,Andrea Ceschin,Dorinthea Ironsong,Loss
Michał Rzepczyński,"Azalea, Ace in the Hole",Round 3,Mika Vainio,"Ser Boltyn, Breaker of Dawn",Loss
Mika Vainio,"Ser Boltyn, Breaker of Dawn",Round 3,Michał Rzepczyński,"Azalea, Ace in the Hole",Win
Raffaele Verdiani,"Verdance, Thorn of the Rose",Round 3,Alessandro Sgura,"Vynnset, Iron Maiden",Win
Alessandro Sgura,"Vynnset, Iron Maiden",Round 3,Raffaele Verdiani,"Verdance, Thorn of the Rose",Loss
Patrik Koller,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 3,Paul Crame,"Azalea, Ace in the Hole",Loss
Paul Crame,"Azalea, Ace in the Hole",Round 3,Patrik Koller,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Sebastian Linn,"Verdance, Thorn of the Rose",Round 3,Iason Kouvakas,"Florian, Rotwood Harbinger",Win
Iason Kouvakas,"Florian, Rotwood Harbinger",Round 3,Sebastian Linn,"Verdance, Thorn of the Rose",Loss
Freddy Friedrich,"Gravy Bones, Shipwrecked Looter",Round 3,Victor Lenoble,"Kayo, Armed and Dangerous",Win
Victor Lenoble,"Kayo, Armed and Dangerous",Round 3,Freddy Friedrich,"Gravy Bones, Shipwrecked Looter",Loss
Adriano Izzi,"Prism, Awakener of Sol",Round 3,Jan-Hendrik Brinkforth,Jarl Vetreiði,Win
Jan-Hendrik Brinkforth,Jarl Vetreiði,Round 3,Adriano Izzi,"Prism, Awakener of Sol",Loss
Philip van Donselaar,"Gravy Bones, Shipwrecked Looter",Round 3,Kacper Mocek,"Ira, Scarlet Revenger",Win
Kacper Mocek,"Ira, Scarlet Revenger",Round 3,Philip van Donselaar,"Gravy Bones, Shipwrecked Looter",Loss
Liam Holden,"Victor Goldmane, High and Mighty",Round 3,Márton Kovács,"Cindra, Dracai of Retribution",Win
Márton Kovács,"Cindra, Dracai of Retribution",Round 3,Liam Holden,"Victor Goldmane, High and Mighty",Loss
Michał Zalejski,"Florian, Rotwood Harbinger",Round 3,Leoluca Colletti,"Nuu, Alluring Desire",Loss
Leoluca Colletti,"Nuu, Alluring Desire",Round 3,Michał Zalejski,"Florian, Rotwood Harbinger",Win
Mateusz Sass,"Victor Goldmane, High and Mighty",Round 3,Lukasz Ziemba,"Fang, Dracai of Blades",Win
Lukasz Ziemba,"Fang, Dracai of Blades",Round 3,Mateusz Sass,"Victor Goldmane, High and Mighty",Loss
Eugenio Papavero Crusca,Jarl Vetreiði,Round 3,Igor Makarev,"Ira, Scarlet Revenger",Win
Igor Makarev,"Ira, Scarlet Revenger",Round 3,Eugenio Papavero Crusca,Jarl Vetreiði,Loss
Artur Wysocki,"Nuu, Alluring Desire",Round 3,Alex Kondov,"Prism, Awakener of Sol",Win
Alex Kondov,"Prism, Awakener of Sol",Round 3,Artur Wysocki,"Nuu, Alluring Desire",Loss
Panagiotis Pavlou,"Prism, Awakener of Sol",Round 3,Emad Kashy,"Arakni, Marionette",Loss
Emad Kashy,"Arakni, Marionette",Round 3,Panagiotis Pavlou,"Prism, Awakener of Sol",Win
Xiaoliang Yang,Dash I/O,Round 3,Goran Lovric,"Florian, Rotwood Harbinger",Loss
Goran Lovric,"Florian, Rotwood Harbinger",Round 3,Xiaoliang Yang,Dash I/O,Win
Gennaro Ciampa Mango,"Cindra, Dracai of Retribution",Round 3,Stefano Galli,"Verdance, Thorn of the Rose",Win
Stefano Galli,"Verdance, Thorn of the Rose",Round 3,Gennaro Ciampa Mango,"Cindra, Dracai of Retribution",Loss
Jonny Chapman,"Florian, Rotwood Harbinger",Round 3,Tiziano Biagetti,"Florian, Rotwood Harbinger",Win
Tiziano Biagetti,"Florian, Rotwood Harbinger",Round 3,Jonny Chapman,"Florian, Rotwood Harbinger",Loss
Björn DHOOGHE,"Katsu, the Wanderer",Round 3,Giacomo Mosca,"Verdance, Thorn of the Rose",Win
Giacomo Mosca,"Verdance, Thorn of the Rose",Round 3,Björn DHOOGHE,"Katsu, the Wanderer",Loss
Grégory Lefebvre,"Oscilio, Constella Intelligence",Round 3,Francesco Giorgio,"Florian, Rotwood Harbinger",Win
Francesco Giorgio,"Florian, Rotwood Harbinger",Round 3,Grégory Lefebvre,"Oscilio, Constella Intelligence",Loss
Pierantonio Ostuni,"Cindra, Dracai of Retribution",Round 3,Léo Masson,"Kano, Dracai of Aether",Win
Léo Masson,"Kano, Dracai of Aether",Round 3,Pierantonio Ostuni,"Cindra, Dracai of Retribution",Loss
Mert Gezgin,"Oscilio, Constella Intelligence",Round 3,Virginia Rosenberg,"Fang, Dracai of Blades",Win
Virginia Rosenberg,"Fang, Dracai of Blades",Round 3,Mert Gezgin,"Oscilio, Constella Intelligence",Loss
Kaloyan Nikov,Dash I/O,Round 3,Diego Giacca,"Puffin, Hightail",Loss
Diego Giacca,"Puffin, Hightail",Round 3,Kaloyan Nikov,Dash I/O,Win
Nico Schleier,"Arakni, Marionette",Round 3,Josef Doležal,"Cindra, Dracai of Retribution",Win
Josef Doležal,"Cindra, Dracai of Retribution",Round 3,Nico Schleier,"Arakni, Marionette",Loss
Nikos Tavoulareas,"Florian, Rotwood Harbinger",Round 3,Mirko Macchia,"Azalea, Ace in the Hole",Win
Mirko Macchia,"Azalea, Ace in the Hole",Round 3,Nikos Tavoulareas,"Florian, Rotwood Harbinger",Loss
Felix Krisch,"Levia, Shadowborn Abomination",Round 3,Stephen Berlyant,"Gravy Bones, Shipwrecked Looter",Win
Stephen Berlyant,"Gravy Bones, Shipwrecked Looter",Round 3,Felix Krisch,"Levia, Shadowborn Abomination",Loss
Marcello Mutalipassi,"Arakni, Marionette",Round 3,Julien Erdreich,"Florian, Rotwood Harbinger",Loss
Julien Erdreich,"Florian, Rotwood Harbinger",Round 3,Marcello Mutalipassi,"Arakni, Marionette",Win
Noah Cagle,"Fang, Dracai of Blades",Round 3,Christos Kontzoglou,"Azalea, Ace in the Hole",Loss
Christos Kontzoglou,"Azalea, Ace in the Hole",Round 3,Noah Cagle,"Fang, Dracai of Blades",Win
Adam Tuček,"Nuu, Alluring Desire",Round 3,Florian Traversaz,"Prism, Awakener of Sol",Win
Florian Traversaz,"Prism, Awakener of Sol",Round 3,Adam Tuček,"Nuu, Alluring Desire",Loss
Giulio Monaco,"Verdance, Thorn of the Rose",Round 3,Valentino Odorjan,"Gravy Bones, Shipwrecked Looter",Win
Valentino Odorjan,"Gravy Bones, Shipwrecked Looter",Round 3,Giulio Monaco,"Verdance, Thorn of the Rose",Loss
CHRISTOS KOSTAKIS,"Ira, Scarlet Revenger",Round 3,Nikos Evgenidis,"Nuu, Alluring Desire",Loss
Nikos Evgenidis,"Nuu, Alluring Desire",Round 3,CHRISTOS KOSTAKIS,"Ira, Scarlet Revenger",Win
Αναστάσιος Παπαγιάννης,"Oscilio, Constella Intelligence",Round 3,Gianluigi Lia,"Nuu, Alluring Desire",Loss
Gianluigi Lia,"Nuu, Alluring Desire",Round 3,Αναστάσιος Παπαγιάννης,"Oscilio, Constella Intelligence",Win
Michał Biereg,"Verdance, Thorn of the Rose",Round 3,Francesco Buoso,"Oscilio, Constella Intelligence",Loss
Francesco Buoso,"Oscilio, Constella Intelligence",Round 3,Michał Biereg,"Verdance, Thorn of the Rose",Win
Kamil Rejman,"Azalea, Ace in the Hole",Round 3,Karanjeet Singh,Dash I/O,Loss
Karanjeet Singh,Dash I/O,Round 3,Kamil Rejman,"Azalea, Ace in the Hole",Win
Francesco D'Amendola,"Kayo, Armed and Dangerous",Round 3,Theofilos Papadopoulos,"Levia, Shadowborn Abomination",Win
Theofilos Papadopoulos,"Levia, Shadowborn Abomination",Round 3,Francesco D'Amendola,"Kayo, Armed and Dangerous",Loss
Romain TRAVERSAZ,"Florian, Rotwood Harbinger",Round 3,Brodie Spurlock,"Gravy Bones, Shipwrecked Looter",Loss
Brodie Spurlock,"Gravy Bones, Shipwrecked Looter",Round 3,Romain TRAVERSAZ,"Florian, Rotwood Harbinger",Win
Jari Vincke,"Verdance, Thorn of the Rose",Round 3,Bartosz Dobrowolski,"Arakni, Marionette",Loss
Bartosz Dobrowolski,"Arakni, Marionette",Round 3,Jari Vincke,"Verdance, Thorn of the Rose",Win
Brian Zambelli Tello,"Prism, Awakener of Sol",Round 3,Nicolò Valenzano,"Azalea, Ace in the Hole",Loss
Nicolò Valenzano,"Azalea, Ace in the Hole",Round 3,Brian Zambelli Tello,"Prism, Awakener of Sol",Win
Michal Cwik,"Levia, Shadowborn Abomination",Round 3,Bottino Valerio,"Prism, Awakener of Sol",Loss
Bottino Valerio,"Prism, Awakener of Sol",Round 3,Michal Cwik,"Levia, Shadowborn Abomination",Win
Alexej Vollmer,"Gravy Bones, Shipwrecked Looter",Round 3,Michaele Teppa,"Nuu, Alluring Desire",Loss
Michaele Teppa,"Nuu, Alluring Desire",Round 3,Alexej Vollmer,"Gravy Bones, Shipwrecked Looter",Win
Alexander Prull,"Azalea, Ace in the Hole",Round 3,Rob Catton,"Prism, Awakener of Sol",Loss
Rob Catton,"Prism, Awakener of Sol",Round 3,Alexander Prull,"Azalea, Ace in the Hole",Win
Brian Fusciani,Dorinthea Ironsong,Round 3,Sergio Sanz Guerrero,"Azalea, Ace in the Hole",Loss
Sergio Sanz Guerrero,"Azalea, Ace in the Hole",Round 3,Brian Fusciani,Dorinthea Ironsong,Win
Žan Baumgartner,"Kano, Dracai of Aether",Round 3,Paweł Romanowski,"Kayo, Armed and Dangerous",Loss
Paweł Romanowski,"Kayo, Armed and Dangerous",Round 3,Žan Baumgartner,"Kano, Dracai of Aether",Win
Francesco Fiumanò,"Cindra, Dracai of Retribution",Round 3,Erik Baalhuis,"Rhinar, Reckless Rampage",Loss
Erik Baalhuis,"Rhinar, Reckless Rampage",Round 3,Francesco Fiumanò,"Cindra, Dracai of Retribution",Win
Nikolas Koutounidis,"Victor Goldmane, High and Mighty",Round 3,Tilen Blazinšek,"Nuu, Alluring Desire",Loss
Tilen Blazinšek,"Nuu, Alluring Desire",Round 3,Nikolas Koutounidis,"Victor Goldmane, High and Mighty",Win
Alessandro Berganton,"Florian, Rotwood Harbinger",Round 3,Martin Holík,"Kano, Dracai of Aether",Loss
Martin Holík,"Kano, Dracai of Aether",Round 3,Alessandro Berganton,"Florian, Rotwood Harbinger",Win
Paul van Gijssel,"Azalea, Ace in the Hole",Round 3,Tim Sofsky,"Prism, Awakener of Sol",Loss
Tim Sofsky,"Prism, Awakener of Sol",Round 3,Paul van Gijssel,"Azalea, Ace in the Hole",Win
Andrea Pizzetti,"Oscilio, Constella Intelligence",Round 3,Yorick Schulte,Kassai of the Golden Sand,Win
Yorick Schulte,Kassai of the Golden Sand,Round 3,Andrea Pizzetti,"Oscilio, Constella Intelligence",Loss
Lorenzo Brambilla Pisoni,"Nuu, Alluring Desire",Round 3,Michael Feng,"Nuu, Alluring Desire",Loss
Michael Feng,"Nuu, Alluring Desire",Round 3,Lorenzo Brambilla Pisoni,"Nuu, Alluring Desire",Win
Alessio Viola,Jarl Vetreiði,Round 3,Florin-Cristian Loghin,"Florian, Rotwood Harbinger",Loss
Florin-Cristian Loghin,"Florian, Rotwood Harbinger",Round 3,Alessio Viola,Jarl Vetreiði,Win
Sander Neeft,"Gravy Bones, Shipwrecked Looter",Round 3,Jonas Benzarti,"Arakni, Marionette",Win
Jonas Benzarti,"Arakni, Marionette",Round 3,Sander Neeft,"Gravy Bones, Shipwrecked Looter",Loss
Matteo Frescucci,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 3,Mario Donoso,"Florian, Rotwood Harbinger",Loss
Mario Donoso,"Florian, Rotwood Harbinger",Round 3,Matteo Frescucci,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Tomasz Żelazko,"Marlynn, Treasure Hunter",Round 3,Alessandro Tassini,"Florian, Rotwood Harbinger",Loss
Alessandro Tassini,"Florian, Rotwood Harbinger",Round 3,Tomasz Żelazko,"Marlynn, Treasure Hunter",Win
Tore Eskeland,"Florian, Rotwood Harbinger",Round 3,piero scheriani,"Fai, Rising Rebellion",Loss
piero scheriani,"Fai, Rising Rebellion",Round 3,Tore Eskeland,"Florian, Rotwood Harbinger",Win
Matteo Lista,"Oscilio, Constella Intelligence",Round 3,Jacob Walter,"Verdance, Thorn of the Rose",Loss
Jacob Walter,"Verdance, Thorn of the Rose",Round 3,Matteo Lista,"Oscilio, Constella Intelligence",Win
Jurij Di Carlo,"Florian, Rotwood Harbinger",Round 3,Mihai Zorila,"Cindra, Dracai of Retribution",Loss
Mihai Zorila,"Cindra, Dracai of Retribution",Round 3,Jurij Di Carlo,"Florian, Rotwood Harbinger",Win
Eugene C,"Rhinar, Reckless Rampage",Round 3,Ivaylo Ivanov,"Azalea, Ace in the Hole",Loss
Ivaylo Ivanov,"Azalea, Ace in the Hole",Round 3,Eugene C,"Rhinar, Reckless Rampage",Win
Flavio Dollani,"Azalea, Ace in the Hole",Round 3,Gaia Bormida,Dorinthea Ironsong,Win
Gaia Bormida,Dorinthea Ironsong,Round 3,Flavio Dollani,"Azalea, Ace in the Hole",Loss
Tommaso Viscido,"Nuu, Alluring Desire",Round 3,Bota Claudiu,"Prism, Awakener of Sol",Loss
Bota Claudiu,"Prism, Awakener of Sol",Round 3,Tommaso Viscido,"Nuu, Alluring Desire",Win
Natan Tomeo,"Verdance, Thorn of the Rose",Round 3,Lancelot Errico,"Florian, Rotwood Harbinger",Win
Lancelot Errico,"Florian, Rotwood Harbinger",Round 3,Natan Tomeo,"Verdance, Thorn of the Rose",Loss
Diogo Vala,"Azalea, Ace in the Hole",Round 3,Victor Sanchez,"Riptide, Lurker of the Deep",Win
Victor Sanchez,"Riptide, Lurker of the Deep",Round 3,Diogo Vala,"Azalea, Ace in the Hole",Loss
Christian Hauck,Dorinthea Ironsong,Round 3,Xavier Mudry,"Oscilio, Constella Intelligence",Loss
Xavier Mudry,"Oscilio, Constella Intelligence",Round 3,Christian Hauck,Dorinthea Ironsong,Win
Flavio Caoduro,"Gravy Bones, Shipwrecked Looter",Round 3,Andrea Malpassi,"Cindra, Dracai of Retribution",Loss
Andrea Malpassi,"Cindra, Dracai of Retribution",Round 3,Flavio Caoduro,"Gravy Bones, Shipwrecked Looter",Win
Jakub Koenner,"Prism, Awakener of Sol",Round 3,Daniele Frattarelli,"Florian, Rotwood Harbinger",Loss
Daniele Frattarelli,"Florian, Rotwood Harbinger",Round 3,Jakub Koenner,"Prism, Awakener of Sol",Win
Tudor Diaconescu,"Levia, Shadowborn Abomination",Round 3,Chang Li,"Victor Goldmane, High and Mighty",Loss
Chang Li,"Victor Goldmane, High and Mighty",Round 3,Tudor Diaconescu,"Levia, Shadowborn Abomination",Win
Ian Zhang,"Nuu, Alluring Desire",Round 3,riccardo battaglia,"Verdance, Thorn of the Rose",Win
riccardo battaglia,"Verdance, Thorn of the Rose",Round 3,Ian Zhang,"Nuu, Alluring Desire",Loss
Alexandros Argyriou,"Cindra, Dracai of Retribution",Round 3,Daja Todesco,"Gravy Bones, Shipwrecked Looter",Win
Daja Todesco,"Gravy Bones, Shipwrecked Looter",Round 3,Alexandros Argyriou,"Cindra, Dracai of Retribution",Loss
Maniša Njegomir,"Kano, Dracai of Aether",Round 3,Simone Rainaldi,"Oscilio, Constella Intelligence",Win
Simone Rainaldi,"Oscilio, Constella Intelligence",Round 3,Maniša Njegomir,"Kano, Dracai of Aether",Loss
Plamen Kutinchev,"Arakni, Marionette",Round 3,Alex Chițu,"Azalea, Ace in the Hole",Win
Alex Chițu,"Azalea, Ace in the Hole",Round 3,Plamen Kutinchev,"Arakni, Marionette",Loss
George Rodger,"Gravy Bones, Shipwrecked Looter",Round 3,Andrea Caregnato,"Rhinar, Reckless Rampage",Win
Andrea Caregnato,"Rhinar, Reckless Rampage",Round 3,George Rodger,"Gravy Bones, Shipwrecked Looter",Loss
Marek Luczak,"Cindra, Dracai of Retribution",Round 3,Lorenzo Cavazzini,"Florian, Rotwood Harbinger",Loss
Lorenzo Cavazzini,"Florian, Rotwood Harbinger",Round 3,Marek Luczak,"Cindra, Dracai of Retribution",Win
Mauro Annetta,Jarl Vetreiði,Round 3,Christian Fichtner,"Nuu, Alluring Desire",Loss
Christian Fichtner,"Nuu, Alluring Desire",Round 3,Mauro Annetta,Jarl Vetreiði,Win
Maximilian Reichl,"Arakni, Marionette",Round 3,Sebastian Sommer,"Gravy Bones, Shipwrecked Looter",Win
Sebastian Sommer,"Gravy Bones, Shipwrecked Looter",Round 3,Maximilian Reichl,"Arakni, Marionette",Loss
filippo pirazzoli,"Cindra, Dracai of Retribution",Round 3,Francesco Zampieri,"Cindra, Dracai of Retribution",Win
Francesco Zampieri,"Cindra, Dracai of Retribution",Round 3,filippo pirazzoli,"Cindra, Dracai of Retribution",Loss
Vedran Djuricic,"Fang, Dracai of Blades",Round 3,Demetrio Bori,Dash I/O,Loss
Demetrio Bori,Dash I/O,Round 3,Vedran Djuricic,"Fang, Dracai of Blades",Win
Pierfrancesco Di Giuseppe,"Gravy Bones, Shipwrecked Looter",Round 3,Thorbjørn Lind Jensen,"Azalea, Ace in the Hole",Loss
Thorbjørn Lind Jensen,"Azalea, Ace in the Hole",Round 3,Pierfrancesco Di Giuseppe,"Gravy Bones, Shipwrecked Looter",Win
Matthias Verbeeck,"Florian, Rotwood Harbinger",Round 3,Jeremy Miller,"Nuu, Alluring Desire",Loss
Jeremy Miller,"Nuu, Alluring Desire",Round 3,Matthias Verbeeck,"Florian, Rotwood Harbinger",Win
Andrea Albani,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 3,Paolo D’Innocenzo,Kassai of the Golden Sand,Win
Paolo D’Innocenzo,Kassai of the Golden Sand,Round 3,Andrea Albani,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
Jacob Clements,"Prism, Awakener of Sol",Round 3,Vasil Boev,"Verdance, Thorn of the Rose",Win
Vasil Boev,"Verdance, Thorn of the Rose",Round 3,Jacob Clements,"Prism, Awakener of Sol",Loss
Marek Fila,"Fang, Dracai of Blades",Round 3,Guillermo Revilla,"Arakni, Marionette",Win
Guillermo Revilla,"Arakni, Marionette",Round 3,Marek Fila,"Fang, Dracai of Blades",Loss
Simone Quartieri,"Florian, Rotwood Harbinger",Round 3,Edoardo Galli,"Nuu, Alluring Desire",Loss
Edoardo Galli,"Nuu, Alluring Desire",Round 3,Simone Quartieri,"Florian, Rotwood Harbinger",Win
Marco Nogarole,"Cindra, Dracai of Retribution",Round 3,Sebastiano Zagatti,"Azalea, Ace in the Hole",Win
Sebastiano Zagatti,"Azalea, Ace in the Hole",Round 3,Marco Nogarole,"Cindra, Dracai of Retribution",Loss
Sebastian Spicher,"Verdance, Thorn of the Rose",Round 3,Andrea Nicastro,"Kano, Dracai of Aether",Loss
Andrea Nicastro,"Kano, Dracai of Aether",Round 3,Sebastian Spicher,"Verdance, Thorn of the Rose",Win
Max Dieckmann,"Gravy Bones, Shipwrecked Looter",Round 3,Jakub Mares,"Gravy Bones, Shipwrecked Looter",Win
Jakub Mares,"Gravy Bones, Shipwrecked Looter",Round 3,Max Dieckmann,"Gravy Bones, Shipwrecked Looter",Loss
Kinga Piper Balázs,"Cindra, Dracai of Retribution",Round 3,Michele Maietta,"Kano, Dracai of Aether",Loss
Michele Maietta,"Kano, Dracai of Aether",Round 3,Kinga Piper Balázs,"Cindra, Dracai of Retribution",Win
Viktor Ivanov,"Arakni, Marionette",Round 3,Davide Cimmino,"Azalea, Ace in the Hole",Win
Davide Cimmino,"Azalea, Ace in the Hole",Round 3,Viktor Ivanov,"Arakni, Marionette",Loss
Finn Baird,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 3,Samuel Mudry,"Kano, Dracai of Aether",Loss
Samuel Mudry,"Kano, Dracai of Aether",Round 3,Finn Baird,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Isidoros Popovits,"Azalea, Ace in the Hole",Round 3,Alberto Hernández Martin,"Vynnset, Iron Maiden",Win
Alberto Hernández Martin,"Vynnset, Iron Maiden",Round 3,Isidoros Popovits,"Azalea, Ace in the Hole",Loss
Luis Toeffels,"Azalea, Ace in the Hole",Round 3,Vincent Weinzierl,Kassai of the Golden Sand,Loss
Vincent Weinzierl,Kassai of the Golden Sand,Round 3,Luis Toeffels,"Azalea, Ace in the Hole",Win
René Rosenberg,"Arakni, Marionette",Round 3,Duccio Capanni,"Victor Goldmane, High and Mighty",Loss
Duccio Capanni,"Victor Goldmane, High and Mighty",Round 3,René Rosenberg,"Arakni, Marionette",Win
Pietro Motta,"Puffin, Hightail",Round 3,Enrico Collini,"Riptide, Lurker of the Deep",Win
Enrico Collini,"Riptide, Lurker of the Deep",Round 3,Pietro Motta,"Puffin, Hightail",Loss
Juan Victor Echeverria,"Gravy Bones, Shipwrecked Looter",Round 3,Daniel Mulato,"Azalea, Ace in the Hole",Loss
Daniel Mulato,"Azalea, Ace in the Hole",Round 3,Juan Victor Echeverria,"Gravy Bones, Shipwrecked Looter",Win
Maciej Szawica,"Kayo, Armed and Dangerous",Round 3,Marcin Chorzepa,"Oscilio, Constella Intelligence",Win
Marcin Chorzepa,"Oscilio, Constella Intelligence",Round 3,Maciej Szawica,"Kayo, Armed and Dangerous",Loss
Sotiris Konstantelos,"Puffin, Hightail",Round 3,Aurelien Souchet,"Verdance, Thorn of the Rose",Loss
Aurelien Souchet,"Verdance, Thorn of the Rose",Round 3,Sotiris Konstantelos,"Puffin, Hightail",Win
Davide Ierardi,"Marlynn, Treasure Hunter",Round 3,KONSTANTINOS STERGIOU,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
KONSTANTINOS STERGIOU,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 3,Davide Ierardi,"Marlynn, Treasure Hunter",Win
Jakub Kulpinski,"Puffin, Hightail",Round 3,Gabriele Giacomelli,Dash I/O,Loss
Gabriele Giacomelli,Dash I/O,Round 3,Jakub Kulpinski,"Puffin, Hightail",Win
Jimmy Nguyen,"Gravy Bones, Shipwrecked Looter",Round 3,Iacopo Lau,"Azalea, Ace in the Hole",Win
Iacopo Lau,"Azalea, Ace in the Hole",Round 3,Jimmy Nguyen,"Gravy Bones, Shipwrecked Looter",Loss
Florian Schmidt,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 3,Boris Melnykov,"Nuu, Alluring Desire",Loss
Boris Melnykov,"Nuu, Alluring Desire",Round 3,Florian Schmidt,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Florian Grabenstein,"Kayo, Armed and Dangerous",Round 3,Valerio Colonna,"Nuu, Alluring Desire",Loss
Valerio Colonna,"Nuu, Alluring Desire",Round 3,Florian Grabenstein,"Kayo, Armed and Dangerous",Win
Massimo D'Amato,"Florian, Rotwood Harbinger",Round 3,Tigran Grigorian,"Florian, Rotwood Harbinger",Loss
Tigran Grigorian,"Florian, Rotwood Harbinger",Round 3,Massimo D'Amato,"Florian, Rotwood Harbinger",Win
Morris Prem,"Arakni, Marionette",Round 3,David Bettoli,"Prism, Awakener of Sol",Win
David Bettoli,"Prism, Awakener of Sol",Round 3,Morris Prem,"Arakni, Marionette",Loss
Patrycjusz Janas,Jarl Vetreiði,Round 3,Riccardo Di Cesare,Kassai of the Golden Sand,Loss
Riccardo Di Cesare,Kassai of the Golden Sand,Round 3,Patrycjusz Janas,Jarl Vetreiði,Win
Wojciech Arendt,"Prism, Awakener of Sol",Round 3,James Thourgood,"Prism, Awakener of Sol",Win
James Thourgood,"Prism, Awakener of Sol",Round 3,Wojciech Arendt,"Prism, Awakener of Sol",Loss
Giorgos Dailianis,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 3,Matthew Brown,"Fang, Dracai of Blades",Win
Matthew Brown,"Fang, Dracai of Blades",Round 3,Giorgos Dailianis,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
Massimiliano Messina,"Fang, Dracai of Blades",Round 3,Adrian Słowiński,"Azalea, Ace in the Hole",Loss
Adrian Słowiński,"Azalea, Ace in the Hole",Round 3,Massimiliano Messina,"Fang, Dracai of Blades",Win
Danny Halstad,"Puffin, Hightail",Round 3,Adrián Marín,"Florian, Rotwood Harbinger",Loss
Adrián Marín,"Florian, Rotwood Harbinger",Round 3,Danny Halstad,"Puffin, Hightail",Win
