Player,Wins,Losses,Win Rate (%),Heroes Used
Nicolò Valenzano,4,3,57.14,"Azalea, Ace in the Hole"
Gennaro Ciampa Mango,4,3,57.14,"Cindra, Dracai of Retribution"
riccardo battaglia,1,3,25.0,"Verdance, Thorn of the Rose"
Sebastian Sommer,1,3,25.0,"Gravy Bones, Shipwrecked Looter"
Vlad Margarit,0,1,0.0,Jarl Vetreiði
Andrei Sebastian Suciu,8,4,66.67,"Arakni, Marionette"
Morris Prem,4,3,57.14,"Arakni, Marionette"
Alessandro Sgura,2,4,33.33,"Vynnset, Iron Maiden"
David Luckey,2,4,33.33,"Azalea, Ace in the Hole"
Alessio Bouko,0,3,0.0,"Puffin, Hightail"
Jari Vincke,2,3,40.0,"Verdance, Thorn of the Rose"
Valentino Odorjan,2,5,28.57,"Gravy Bones, Shipwrecked Looter"
Patrik Koller,2,3,40.0,"Arakni, 5L!p3d 7hRu 7h3 cR4X"
Yassine Echafai Tripiana,3,3,50.0,"Vynnset, Iron Maiden"
Alessandro Tassini,3,3,50.0,"Florian, Rotwood Harbinger"
Bottino Valerio,2,4,33.33,"Prism, Awakener of Sol"
Sammy Weckx,9,3,75.0,"Prism, Awakener of Sol"
Andrea Pizzetti,2,4,33.33,"Oscilio, Constella Intelligence"
Matthew Brown,4,3,57.14,"Fang, Dracai of Blades"
Michael Feng,3,3,50.0,"Nuu, Alluring Desire"
Michał Zalejski,2,4,33.33,"Florian, Rotwood Harbinger"
Victor Sanchez,2,4,33.33,"Riptide, Lurker of the Deep"
Gints Dreimanis,7,4,63.64,"Arakni, Marionette"
Marcel Harz,2,3,40.0,"Prism, Awakener of Sol"
Sergio Amigo,1,3,25.0,"Nuu, Alluring Desire"
Guillermo Revilla,0,5,0.0,"Arakni, Marionette"
Kacper Mocek,1,3,25.0,"Ira, Scarlet Revenger"
Massimiliano Messina,2,4,33.33,"Fang, Dracai of Blades"
Nico Schleier,4,3,57.14,"Arakni, Marionette"
Michael Wachouschek,2,4,33.33,Dash I/O
Daja Todesco,3,4,42.86,"Gravy Bones, Shipwrecked Looter"
"""Lello"" Alessandro Stefanelli",2,4,33.33,"Azalea, Ace in the Hole"
Simone Pirota,3,4,42.86,"Azalea, Ace in the Hole"
Lorenzo Latino,4,3,57.14,"Victor Goldmane, High and Mighty"
Matteo Lista,4,3,57.14,"Oscilio, Constella Intelligence"
Gregory Patellis,3,4,42.86,"Prism, Awakener of Sol"
Panagiotis Xanthopoulos,7,5,58.33,"Florian, Rotwood Harbinger"
Sebastian Linn,4,3,57.14,"Verdance, Thorn of the Rose"
Daniele Frattarelli,2,3,40.0,"Florian, Rotwood Harbinger"
Xavier Mudry,4,3,57.14,"Oscilio, Constella Intelligence"
Roy Sammour,9,3,75.0,"Oscilio, Constella Intelligence"
CHRISTOS KOSTAKIS,3,3,50.0,"Ira, Scarlet Revenger"
Nicolas Ziegler,2,4,33.33,"Gravy Bones, Shipwrecked Looter"
Pierre-Yves Garcia,1,3,25.0,"Ira, Scarlet Revenger"
Theofrastos Matakoulias,3,4,42.86,"Puffin, Hightail"
Jean Luka Zorko,4,3,57.14,"Prism, Awakener of Sol"
Isidoros Popovits,4,3,57.14,"Azalea, Ace in the Hole"
Virginia Rosenberg,1,2,33.33,"Fang, Dracai of Blades"
